country,year,continent,biofuel_consumption,source
Algeria,1965,Africa,-4.605170186,bio_fuel
Algeria,1966,Africa,-4.605170186,bio_fuel
Algeria,1967,Africa,-4.605170186,bio_fuel
Algeria,1968,Africa,-4.605170186,bio_fuel
Algeria,1969,Africa,-4.605170186,bio_fuel
Algeria,1970,Africa,-4.605170186,bio_fuel
Algeria,1971,Africa,-4.605170186,bio_fuel
Algeria,1972,Africa,-4.605170186,bio_fuel
Algeria,1973,Africa,-4.605170186,bio_fuel
Algeria,1974,Africa,-4.605170186,bio_fuel
Algeria,1975,Africa,-4.605170186,bio_fuel
Algeria,1976,Africa,-4.605170186,bio_fuel
Algeria,1977,Africa,-4.605170186,bio_fuel
Algeria,1978,Africa,-4.605170186,bio_fuel
Algeria,1979,Africa,-4.605170186,bio_fuel
Algeria,1980,Africa,-4.605170186,bio_fuel
Algeria,1981,Africa,-4.605170186,bio_fuel
Algeria,1982,Africa,-4.605170186,bio_fuel
Algeria,1983,Africa,-4.605170186,bio_fuel
Algeria,1984,Africa,-4.605170186,bio_fuel
Algeria,1985,Africa,-4.605170186,bio_fuel
Algeria,1986,Africa,-4.605170186,bio_fuel
Algeria,1987,Africa,-4.605170186,bio_fuel
Algeria,1988,Africa,-4.605170186,bio_fuel
Algeria,1989,Africa,-4.605170186,bio_fuel
Algeria,1990,Africa,-4.605170186,bio_fuel
Algeria,1991,Africa,-4.605170186,bio_fuel
Algeria,1992,Africa,-4.605170186,bio_fuel
Algeria,1993,Africa,-4.605170186,bio_fuel
Algeria,1994,Africa,-4.605170186,bio_fuel
Algeria,1995,Africa,-4.605170186,bio_fuel
Algeria,1996,Africa,-4.605170186,bio_fuel
Algeria,1997,Africa,-4.605170186,bio_fuel
Algeria,1998,Africa,-4.605170186,bio_fuel
Algeria,1999,Africa,-4.605170186,bio_fuel
Algeria,2000,Africa,-4.605170186,bio_fuel
Algeria,2001,Africa,-4.605170186,bio_fuel
Algeria,2002,Africa,-4.605170186,bio_fuel
Algeria,2003,Africa,-4.605170186,bio_fuel
Algeria,2004,Africa,-4.605170186,bio_fuel
Algeria,2005,Africa,-4.605170186,bio_fuel
Algeria,2006,Africa,-4.605170186,bio_fuel
Algeria,2007,Africa,-4.605170186,bio_fuel
Algeria,2008,Africa,-4.605170186,bio_fuel
Algeria,2009,Africa,-4.605170186,bio_fuel
Algeria,2010,Africa,-4.605170186,bio_fuel
Algeria,2011,Africa,-4.605170186,bio_fuel
Algeria,2012,Africa,-4.605170186,bio_fuel
Algeria,2013,Africa,-4.605170186,bio_fuel
Algeria,2014,Africa,-4.605170186,bio_fuel
Algeria,2015,Africa,-4.605170186,bio_fuel
Algeria,2016,Africa,-4.605170186,bio_fuel
Algeria,2017,Africa,-4.605170186,bio_fuel
Algeria,2018,Africa,-4.605170186,bio_fuel
Algeria,2019,Africa,-4.605170186,bio_fuel
Angola,1980,Africa,-4.605170186,bio_fuel
Angola,1981,Africa,-4.605170186,bio_fuel
Angola,1982,Africa,-4.605170186,bio_fuel
Angola,1983,Africa,-4.605170186,bio_fuel
Angola,1984,Africa,-4.605170186,bio_fuel
Angola,1985,Africa,-4.605170186,bio_fuel
Angola,1986,Africa,-4.605170186,bio_fuel
Angola,1987,Africa,-4.605170186,bio_fuel
Angola,1988,Africa,-4.605170186,bio_fuel
Angola,1989,Africa,-4.605170186,bio_fuel
Angola,1990,Africa,-4.605170186,bio_fuel
Angola,1991,Africa,-4.605170186,bio_fuel
Angola,1992,Africa,-4.605170186,bio_fuel
Angola,1993,Africa,-4.605170186,bio_fuel
Angola,1994,Africa,-4.605170186,bio_fuel
Angola,1995,Africa,-4.605170186,bio_fuel
Angola,1996,Africa,-4.605170186,bio_fuel
Angola,1997,Africa,-4.605170186,bio_fuel
Angola,1998,Africa,-4.605170186,bio_fuel
Angola,1999,Africa,-4.605170186,bio_fuel
Angola,2000,Africa,-4.605170186,bio_fuel
Angola,2001,Africa,-4.605170186,bio_fuel
Angola,2002,Africa,-4.605170186,bio_fuel
Angola,2003,Africa,-4.605170186,bio_fuel
Angola,2004,Africa,-4.605170186,bio_fuel
Angola,2005,Africa,-4.605170186,bio_fuel
Angola,2006,Africa,-4.605170186,bio_fuel
Angola,2007,Africa,-4.605170186,bio_fuel
Angola,2008,Africa,-4.605170186,bio_fuel
Angola,2009,Africa,-4.605170186,bio_fuel
Angola,2010,Africa,-4.605170186,bio_fuel
